0x0052,PT_BINARY,PR_RCVD_REPRESENTING_SEARCH_KEY,PidTagReceivedRepresentingSearchKey
0x0053,PT_BINARY,PR_READ_RECEIPT_SEARCH_KEY,PidTagReadReceiptSearchKey
0x0054,PT_BINARY,PR_REPORT_SEARCH_KEY,PidTagReportSearchKey
0x0055,PT_SYSTIME,PR_ORIGINAL_DELIVERY_TIME,PidTagOriginalDeliveryTime
0x0056,PT_BINARY,PR_ORIGINAL_AUTHOR_SEARCH_KEY,PidTagOriginalAuthorSearchKey
0x0057,PT_BOOLEAN,PR_MESSAGE_TO_ME,PidTagMessageToMe
0x0058,PT_BOOLEAN,PR_MESSAGE_CC_ME,PidTagMessageCcMe
0x0059,PT_BOOLEAN,PR_MESSAGE_RECIP_ME,PidTagMessageLocaleId
0x005A,PT_TSTRING,PR_ORIGINAL_SENDER_NAME,PidTagOriginalSenderName
0x005A,PT_STRING8,PR_ORIGINAL_SENDER_NAME_A,PidTagOriginalSenderName
0x005A,PT_UNICODE,PR_ORIGINAL_SENDER_NAME_W,PidTagOriginalSenderName
0x005B,PT_BINARY,PR_ORIGINAL_SENDER_ENTRYID,PidTagOriginalSenderEntryId
0x005C,PT_BINARY,PR_ORIGINAL_SENDER_SEARCH_KEY,PidTagOriginalSenderSearchKey
0x005D,PT_TSTRING,PR_ORIGINAL_SENT_REPRESENTING_NAME,PidTagOriginalSentRepresentingName
0x005D,PT_STRING8,PR_ORIGINAL_SENT_REPRESENTING_NAME_A,PidTagOriginalSentRepresentingName
0x005D,PT_UNICODE,PR_ORIGINAL_SENT_REPRESENTING_NAME_W,PidTagOriginalSentRepresentingName
0x005E,PT_BINARY,PR_ORIGINAL_SENT_REPRESENTING_ENTRYID,PidTagOriginalSentRepresentingEntryId
0x005F,PT_BINARY,PR_ORIGINAL_SENT_REPRESENTING_SEARCH_KEY,PidTagOriginalSentRepresentingSearchKey
0x0060,PT_SYSTIME,PR_START_DATE,PidTagStartDate
0x0061,PT_SYSTIME,PR_END_DATE,PidTagEndDate
0x0062,PT_LONG,PR_OWNER_APPT_ID,PidTagOwnerAppointmentId
0x0063,PT_BOOLEAN,PR_RESPONSE_REQUESTED,PidTagResponseRequested
0x0064,PT_TSTRING,PR_SENT_REPRESENTING_ADDRTYPE,PidTagSentRepresentingAddressType
0x0064,PT_STRING8,PR_SENT_REPRESENTING_ADDRTYPE_A,PidTagSentRepresentingAddressType
0x0064,PT_UNICODE,PR_SENT_REPRESENTING_ADDRTYPE_W,PidTagSentRepresentingAddressType
0x0065,PT_TSTRING,PR_SENT_REPRESENTING_EMAIL_ADDRESS,PidTagSentRepresentingEmailAddress
0x0065,PT_STRING8,PR_SENT_REPRESENTING_EMAIL_ADDRESS_A,PidTagSentRepresentingEmailAddress
0x0065,PT_UNICODE,PR_SENT_REPRESENTING_EMAIL_ADDRESS_W,PidTagSentRepresentingEmailAddress
0x0066,PT_TSTRING,PR_ORIGINAL_SENDER_ADDRTYPE,PidTagOriginalSenderAddressType
0x0066,PT_STRING8,PR_ORIGINAL_SENDER_ADDRTYPE_A,PidTagOriginalSenderAddressType
0x0066,PT_UNICODE,PR_ORIGINAL_SENDER_ADDRTYPE_W,PidTagOriginalSenderAddressType
0x0067,PT_TSTRING,PR_ORIGINAL_SENDER_EMAIL_ADDRESS,PidTagOriginalSenderEmailAddress
0x0067,PT_STRING8,PR_ORIGINAL_SENDER_EMAIL_ADDRESS_A,PidTagOriginalSenderEmailAddress
0x0067,PT_UNICODE,PR_ORIGINAL_SENDER_EMAIL_ADDRESS_W,PidTagOriginalSenderEmailAddress
0x0068,PT_TSTRING,PR_ORIGINAL_SENT_REPRESENTING_ADDRTYPE,PidTagOriginalSentRepresentingAddressType
0x0068,PT_STRING8,PR_ORIGINAL_SENT_REPRESENTING_ADDRTYPE_A,PidTagOriginalSentRepresentingAddressType
0x0068,PT_UNICODE,PR_ORIGINAL_SENT_REPRESENTING_ADDRTYPE_W,PidTagOriginalSentRepresentingAddressType
0x0069,PT_TSTRING,PR_ORIGINAL_SENT_REPRESENTING_EMAIL_ADDRESS,PidTagOriginalSentRepresentingEmailAddress
0x0069,PT_STRING8,PR_ORIGINAL_SENT_REPRESENTING_EMAIL_ADDRESS_A,PidTagOriginalSentRepresentingEmailAddress
0x0069,PT_UNICODE,PR_ORIGINAL_SENT_REPRESENTING_EMAIL_ADDRESS_W,PidTagOriginalSentRepresentingEmailAddress
0x0070,PT_TSTRING,PR_CONVERSATION_TOPIC,PidTagConversationTopic
0x0070,PT_STRING8,PR_CONVERSATION_TOPIC_A,PidTagConversationTopic
0x0070,PT_UNICODE,PR_CONVERSATION_TOPIC_W,PidTagConversationTopic
0x0071,PT_BINARY,PR_CONVERSATION_INDEX,PidTagConversationIndex
0x0072,PT_TSTRING,PR_ORIGINAL_DISPLAY_BCC,PidTagOriginalDisplayBcc
0x0072,PT_STRING8,PR_ORIGINAL_DISPLAY_BCC_A,PidTagOriginalDisplayBcc
0x0072,PT_UNICODE,PR_ORIGINAL_DISPLAY_BCC_W,PidTagOriginalDisplayBcc
0x0073,PT_TSTRING,PR_ORIGINAL_DISPLAY_CC,PidTagOriginalDisplayCc
0x0073,PT_STRING8,PR_ORIGINAL_DISPLAY_CC_A,PidTagOriginalDisplayCc
0x0073,PT_UNICODE,PR_ORIGINAL_DISPLAY_CC_W,PidTagOriginalDisplayCc
0x0074,PT_TSTRING,PR_ORIGINAL_DISPLAY_TO,PidTagOriginalDisplayTo
0x0074,PT_STRING8,PR_ORIGINAL_DISPLAY_TO_A,PidTagOriginalDisplayTo
0x0074,PT_UNICODE,PR_ORIGINAL_DISPLAY_TO_W,PidTagOriginalDisplayTo
0x0075,PT_TSTRING,PR_RECEIVED_BY_ADDRTYPE,PidTagReceivedByAddressType
0x0075,PT_STRING8,PR_RECEIVED_BY_ADDRTYPE_A,PidTagReceivedByAddressType
0x0075,PT_UNICODE,PR_RECEIVED_BY_ADDRTYPE_W,PidTagReceivedByAddressType
0x0076,PT_TSTRING,PR_RECEIVED_BY_EMAIL_ADDRESS,PidTagReceivedByEmailAddress
0x0076,PT_STRING8,PR_RECEIVED_BY_EMAIL_ADDRESS_A,PidTagReceivedByEmailAddress
0x0076,PT_UNICODE,PR_RECEIVED_BY_EMAIL_ADDRESS_W,PidTagReceivedByEmailAddress
0x0077,PT_TSTRING,PR_RCVD_REPRESENTING_ADDRTYPE,PidTagReceivedRepresentingAddressType
0x0077,PT_STRING8,PR_RCVD_REPRESENTING_ADDRTYPE_A,PidTagReceivedRepresentingAddressType
0x0077,PT_UNICODE,PR_RCVD_REPRESENTING_ADDRTYPE_W,PidTagReceivedRepresentingAddressType
0x0078,PT_TSTRING,PR_RCVD_REPRESENTING_EMAIL_ADDRESS,PidTagReceivedRepresentingEmailAddress
0x0078,PT_STRING8,PR_RCVD_REPRESENTING_EMAIL_ADDRESS_A,PidTagReceivedRepresentingEmailAddress
0x0078,PT_UNICODE,PR_RCVD_REPRESENTING_EMAIL_ADDRESS_W,PidTagReceivedRepresentingEmailAddress
0x0079,PT_TSTRING,PR_ORIGINAL_AUTHOR_ADDRTYPE,PidTagOriginalAuthorAddressType
0x0079,PT_STRING8,PR_ORIGINAL_AUTHOR_ADDRTYPE_A,PidTagOriginalAuthorAddressType
0x0079,PT_UNICODE,PR_ORIGINAL_AUTHOR_ADDRTYPE_W,PidTagOriginalAuthorAddressType
0x007A,PT_TSTRING,PR_ORIGINAL_AUTHOR_EMAIL_ADDRESS,PidTagOriginalAuthorEmailAddress
0x007A,PT_STRING8,PR_ORIGINAL_AUTHOR_EMAIL_ADDRESS_A,PidTagOriginalAuthorEmailAddress
0x007A,PT_UNICODE,PR_ORIGINAL_AUTHOR_EMAIL_ADDRESS_W,PidTagOriginalAuthorEmailAddress
0x007B,PT_TSTRING,PR_ORIGINALLY_INTENDED_RECIP_ADDRTYPE,PidTagOriginallyIntendedRecipAddrtype
0x007B,PT_STRING8,PR_ORIGINALLY_INTENDED_RECIP_ADDRTYPE_A,PidTagOriginallyIntendedRecipAddrtype
0x007B,PT_UNICODE,PR_ORIGINALLY_INTENDED_RECIP_ADDRTYPE_W,PidTagOriginallyIntendedRecipAddrtype
0x007C,PT_TSTRING,PR_ORIGINALLY_INTENDED_RECIP_EMAIL_ADDRESS,PidTagOriginallyIntendedRecipEmailAddress
0x007C,PT_STRING8,PR_ORIGINALLY_INTENDED_RECIP_EMAIL_ADDRESS_A,PidTagOriginallyIntendedRecipEmailAddress
0x007C,PT_UNICODE,PR_ORIGINALLY_INTENDED_RECIP_EMAIL_ADDRESS_W,PidTagOriginallyIntendedRecipEmailAddress
0x007D,PT_TSTRING,PR_TRANSPORT_MESSAGE_HEADERS,PidTagTransportMessageHeaders
0x007D,PT_STRING8,PR_TRANSPORT_MESSAGE_HEADERS_A,PidTagTransportMessageHeaders
0x007D,PT_UNICODE,PR_TRANSPORT_MESSAGE_HEADERS_W,PidTagTransportMessageHeaders
0x007E,,PR_DELEGATION,
0x007F,,PR_TNEF_CORRELATION_KEY,PidTagTnefCorrelationKey
0x0C00,PT_BINARY,PR_CONTENT_INTEGRITY_CHECK,PidTagContentIntegrityCheck
0x0C01,PT_LONG,PR_EXPLICIT_CONVERSION,PidTagExplicitConversion
0x0C02,PT_BOOLEAN,PR_IPM_RETURN_REQUESTED,PidTagIpmReturnRequested
0x0C03,PT_BINARY,PR_MESSAGE_TOKEN,
0x0C04,PT_LONG,PR_NDR_REASON_CODE,PidTagNonDeliveryReportReasonCode
0x0C05,PT_LONG,PR_NDR_DIAG_CODE,PidTagNonDeliveryReportDiagCode
0x0C06,PT_BOOLEAN,PR_NON_RECEIPT_NOTIFICATION_REQUESTED,PidTagNonReceiptNotificationRequested
0x0C07,PT_LONG,PR_DELIVERY_POINT,PidTagDeliveryPoint
0x0C08,PT_BOOLEAN,PR_ORIGINATOR_NON_DELIVERY_REPORT_REQUESTED,PidTagOriginatorNonDeliveryReportRequested
0x0C09,PT_BINARY,PR_ORIGINATOR_REQUESTED_ALTERNATE_RECIPIENT,PidTagOriginatorRequestedAlternateRecipient
0x0C0A,PT_BOOLEAN,PR_PHYSICAL_DELIVERY_BUREAU_FAX_DELIVERY,PidTagPhysicalDeliveryBureauFaxDelivery
